F1,F2,F3,F4,X,Y,TARGET
43,17,11,32,-58,118,5
37,13,6,22,-108,127,5
50,13,5,20,-111,129,5
50,13,12,37,-60,123,5
50,17,14,27,-69,116,5
43,13,12,14,-69,124,5
56,20,14,20,-107,130,5
37,20,15,22,-93,127,5
31,20,13,18,-76,120,5
31,17,13,18,-61,119,5
43,24,20,22,-82,130,5
43,17,20,23,-49,110,5
56,24,15,23,-78,124,5
62,24,18,26,-79,124,5
56,20,15,26,-133,135,5
31,27,22,16,-102,132,5
56,24,18,26,-116,132,5
37,20,15,20,-101,131,5
50,17,11,19,-138,138,5
50,20,11,18,-124,133,5
56,20,12,18,-116,133,5
43,20,13,20,-137,140,5
62,24,15,21,-112,122,5
56,24,17,18,-116,130,5
43,20,13,20,-104,126,5
50,20,15,21,-86,125,5
62,20,12,20,-123,131,5
37,17,10,18,-116,128,5
50,24,18,14,-88,123,5
62,17,8,22,-121,132,5
56,20,11,18,-140,136,5
56,20,18,22,-108,132,5
81,20,11,21,-118,134,5
43,20,10,20,-127,134,5
56,24,15,22,-130,135,5
62,24,19,26,-129,134,5
68,17,15,24,-112,132,5
62,20,14,25,-135,138,5
44,6,1.33E-15,21,-115,132,5
55,10,9,27,-143,138,5
50,10,8,27,-122,132,5
55,10,4,20,-79,125,5
61,16,12,28,-130,134,5
55,16,13,16,-94,126,5
61,13,13,23,-127,132,5
55,13,10,19,-138,136,5
55,13,13,18,-88,130,5
38,13,11,14,-64,127,5
72,10,8,13,-113,127,5
55,13,8,22,-100,128,5
66,10,8,22,-107,129,5
61,10,1,16,-78,126,5
50,13,5,18,-42,123,5
16,6,2.33E-10,13,-158,144,5
38,13,8,23,-129,134,5
38,10,1,20,-110,130,5
44,6,2.84E-14,6,-106,130,5
44,10,3,22,-113,129,5
50,13,5,32,-121,133,5
50,13,13,27,-148,140,5
44,6,2.66E-15,16,-155,143,5
50,10,6,24,-146,139,5
50,16,9,38,-109,130,5
55,10,4,25,-116,129,5
50,6,5.82E-11,11,-139,136,5
50,10,1,15,-113,131,5
44,13,6,27,-41,126,5
44,16,8,22,-45,119,5
55,13,3,19,-55,121,5
50,13,3,23,-44,115,5
55,13,1.36E-20,20,-42,110,5
61,13,5,23,-43,113,5
66,13,2,26,-46,112,5
66,13,6,25,-43,115,5
77,16,12,32,-50,111,5
72,16,12,32,-49,120,5
83,16,14,35,-43,106,5
66,16,11,26,-50,111,5
66,13,7,30,-49,120,5
72,10,4,29,-43,106,5
61,10,2,19,-50,111,5
61,16,4,30,-49,120,5
50,16,7,30,-43,106,5
61,10,1.42E-14,11,-43,106,5
51,35,49,51,9,96,4
66,32,43,52,6,94,4
66,37,48,63,13,96,4
70,32,41,61,19,90,4
70,32,42,58,21,65,4
70,35,36,64,8,91,4
62,37,42,70,10,82,4
59,35,32,63,10,83,4
62,37,44,47,10,79,4
70,40,46,32,11,85,4
70,50,54,41,8,77,4
59,52,56,35,8,70,4
66,35,36,63,11,77,4
70,37,40,55,7,84,4
62,32,35,56,9,84,4
59,40,45,55,11,78,4
40,50,69,42,7,80,4
66,40,43,70,19,67,4
62,40,43,65,25,75,4
44,32,40,54,9,92,4
62,37,49,69,10,84,4
66,32,37,52,9,85,4
55,32,35,48,19,68,4
70,40,45,58,22,69,4
66,32,35,52,17,69,4
62,37,32,55,19,70,4
40,40,42,62,15,81,4
62,32,34,62,20,85,4
66,35,38,67,17,85,4
66,37,47,67,15,76,4
62,32,43,62,14,79,4
62,37,42,65,15,89,4
62,44,58,51,20,87,4
71,50,61,57,20,82,4
45,36,45,49,14,66,4
40,38,50,42,15,75,4
65,36,57,50,13,89,4
68,36,63,62,14,81,4
29,25,29,61,16,84,4
48,30,37,52,12,93,4
51,35,49,51,12,85,4
59,30,42,52,14,79,4
51,30,35,55,10,63,4
66,32,43,52,13,55,4
66,37,48,63,14,57,4
70,32,41,61,15,67,4
66,30,38,48,9,66,4
51,25,31,47,8,88,4
62,36,36,45,10,81,4
70,30,39,55,12,59,4
70,30,40,57,8,71,4
62,30,35,50,10,74,4
65,36,39,56,9,86,4
65,37,40,63,11,71,4
44,27,19,46,16,69,4
65,27,32,50,15,75,4
59,30,28,55,12,80,4
65,37,40,64,11,75,4
65,35,36,64,13,70,4
65,22,21,60,16,61,4
70,22,26,55,9,57,4
65,25,30,58,10,63,4
68,32,38,66,7,76,4
68,38,26,52,16,84,4
56,27,35,57,11,76,4
62,46,42,70,14,62,4
62,45,33,63,8,74,4
69,37,50,75,19,83,4
77,35,44,67,2,74,4
62,25,32,58,9,78,4
37,37,34,70,4,84,4
74,30,41,63,8,73,4
62,35,31,50,11,70,4
65,30,30,59,12,69,4
59,35,32,63,17,81,4
66,27,38,62,5,66,4
70,35,38,75,8,64,4
66,30,37,59,12,75,4
66,30,32,67,13,65,4
55,25,32,52,15,56,4
29,27,31,57,16,58,4
66,30,37,64,14,63,4
70,22,30,49,12,64,4
66,61,36,50,11,92,4
74,22,36,56,10,72,4
