F1,F2,F3,F4,X,Y,TARGET
54,58,54,65,12,85,4
51,58,56,79,14,79,4
49,62,61,81,10,63,4
50,66,61,90,13,55,4
55,62,62,97,14,57,4
60,64,60,85,15,67,4
66,62,64,85,9,66,4
63,62,62,65,8,88,4
41,58,54,70,10,81,4
42,62,63,77,12,59,4
59,64,56,78,8,71,4
52,56,55,80,10,74,4
43,60,62,67,9,86,4
48,60,67,93,11,71,4
57,60,60,90,16,69,4
59,58,57,82,15,75,4
67,58,53,87,12,80,4
48,64,57,86,11,75,4
43,58,62,85,13,70,4
44,68,64,97,16,61,4
52,68,60,92,9,57,4
68,60,59,92,10,63,4
63,62,57,94,7,76,4
56,58,57,80,16,84,4
51,62,54,79,11,76,4
52,64,61,80,14,62,4
63,68,64,89,8,74,4
67,66,56,85,19,83,4
64,58,60,79,2,74,4
50,56,54,82,9,78,4
66,58,51,71,4,84,4
68,58,60,83,8,73,4
64,64,65,97,11,70,4
66,58,67,98,12,69,4
64,50,44,67,17,81,4
56,60,59,94,5,66,4
52,58,63,85,8,64,4
56,58,57,92,12,75,4
51,64,64,94,13,65,4
62,54,59,92,15,56,4
66,58,64,78,16,58,4
67,58,62,72,14,63,4
68,58,68,85,12,64,4
60,56,56,85,11,92,4
64,64,67,82,10,72,4
63,58,57,77,7,85,4
57,56,44,87,7,93,4
68,58,57,78,13,82,4
65,54,61,85,10,88,4
64,60,64,88,9,80,4
59,58,67,78,11,88,4
66,56,65,86,15,88,4
63,58,63,85,13,75,4
65,60,67,91,15,80,4
65,52,64,92,5,85,4
67,43,57,85,10,82,4
51,58,64,81,17,68,4
54,50,43,66,19,81,4
68,52,54,79,15,79,4
68,62,63,86,14,68,4
62,54,56,63,17,94,4
65,56,59,78,20,80,4
67,58,64,92,16,72,4
67,58,65,92,16,72,4
58,58,57,92,17,66,4
65,56,60,96,7,71,4
60,52,61,71,9,76,4
63,58,65,84,17,73,4
60,60,59,94,8,79,4
54,45,61,91,5,86,4
60,45,51,88,10,78,4
56,56,63,96,15,64,4
55,60,68,81,16,73,4
52,56,62,85,16,79,4
43,50,55,79,9,85,4
54,56,56,76,9,101,4
48,52,61,51,11,92,4
59,56,64,74,9,88,4
49,54,59,78,12,94,4
41,45,50,44,7,120,4
52,58,60,85,15,81,4
52,56,59,85,25,78,4
51,47,48,66,33,82,4
50,58,62,98,13,57,4
59,58,59,98,15,63,4
63,58,63,92,13,65,4
63,54,64,94,14,61,4
68,56,68,92,3,70,4
42,58,57,73,11,78,4
63,62,60,82,13,83,4
49,54,54,77,8,86,4
42,52,59,67,18,107,4
42,52,60,78,17,91,4
63,62,65,87,10,69,4
50,62,63,78,14,78,4
57,54,56,84,9,75,4
64,54,57,78,16,80,4
60,58,60,81,6,102,4
48,50,54,81,9,90,4
45,54,57,93,12,80,4
55,58,61,86,16,64,4
63,58,59,89,16,71,4
51,56,56,73,10,79,4
45,50,55,82,15,81,4
44,50,59,88,9,77,4
51,54,59,88,10,75,4
48,56,60,93,5,83,4
44,50,59,78,7,83,4
44,52,54,78,6,90,4
50,54,55,78,14,78,4
44,54,59,92,10,84,4
41,52,60,80,3,81,4
43,58,60,92,12,86,4
50,54,60,85,15,88,4
55,58,64,95,14,84,4
43,45,53,70,10,82,4
43,52,57,88,14,89,4
41,52,57,82,15,93,4
48,54,61,87,9,86,4
66,54,57,76,9,93,4
68,27,26,79,16,101,5
68,15,18,17,25,93,5
87,24,23,72,9,91,5
75,9,8,2,10,116,5
68,100,9,9,17,125,5
81,21,18,31,12,103,5
93,24,25,36,7,104,5
62,18,17,38,10,96,5
31,21,14,29,12,95,5
50,6,8,12,37,121,5
68,15,17,28,7,104,5
62,12,13,19,6,111,5
81,21,17,19,20,103,5
68,15,12,29,14,91,5
81,21,17,42,13,99,5
68,9,12,24,13,100,5
81,27,22,41,11,94,5
68,15,8,7,45,115,5
75,6,7,28,20,107,5
93,24,22,49,13,97,5
75,6,6,23,22,113,5
87,36,28,57,11,92,5
87,39,27,80,4,91,5
87,18,12,33,6,103,5
87,18,11,24,8,107,5
87,9,14,36,5,113,5
93,21,18,46,9,113,5
81,18,13,22,14,119,5
81,27,21,21,55,130,5
87,18,15,30,43,121,5
75,15,10,26,18,119,5
75,3,12,25,2,115,5
100,27,28,72,6,102,5
93,21,18,65,15,112,5
81,8.94E-08,9,42,33,124,5
93,12,15,33,13,118,5
93,6,11,35,5,116,5
100,12,15,69,0,115,5
56,15,13,42,-1,120,5
76.5,3,17,50,8,118,5
75,21,24,77,3,105,5
87,24,31,80,-2,103,5
75,21,16,59,6,107,5
81,21,13,65,1,106,5
56,9,6,15,1,125,5
56,6,4,15,38,120,5
81,15,14,44,11,106,5
87,24,24,55,18,109,5
81,18,12,17,72,123,5
87,27,24,55,23,109,5
87,18,17,41,23,112,5
81,15,13,33,25,117,5
75,15,12,21,27,119,5
75,12,8,15,121,133,5
81,18,16,35,79,131,5
81,15,11,28,76,124,5
81,18,12,43,0,125,5
100,24,20,29,51,124,5
81,15,12,37,14,121,5
75,78,9,15,96,119,5
81,15,15,33,2,113,5
81,15,12,24,8,113,5
81,9,10,38,6,112,5
81,12,14,38,7,112,5
87,9,8,38,9,109,5
68,6,6,44,7,108,5
81,12,7,34,37,115,5
68,12,9,49,25,113,5
75,15,12,54,23,109,5
75,12,9,60,28,113,5
68,15,10,28,81,125,5
75,9,6,20,110,128,5
68,12,8,32,23,120,5
62,12,5,11,37,121,5
75,12,7,31,30,115,5
75,12,5,25,18,120,5
81,12,6,30,19,115,5
62,12,10,49,19,110,5
43,9,5,38,40,117,5
62,15,18,66,23,116,5
56,15,16,57,43,114,5
56,21,26,84,34,111,5
62,24,25,61,23,113,5
25,18,16,47,20,112,5
76.5,33,22,76,18,104,5
37,18,17,100,16,103,5
50,30,22,97,25,104,5
18,42,28,79,23,94,5
43,27,22,87,33,98,5
50,33,27,100,30,102,5
62,24,14,68,37,109,5
56,24,18,60,18,104,5
68,30,23,76,32,101,5
62,21,16,24,124,135,5
68,30,22,50,67,126,5
62,24,14,64,77,119,5
62,21,14,56,62,120,5
68,21,12,80,8,111,5
100,100,98,100,19,2,5
75,21,18,27,71,111,5
75,27,15,42,48,101,5
68,21,16,40,67,108,5
75,18,12,46,72,114,5
75,18,10,19,57,112,5
75,21,14,23,53,114,5
81,18,13,21,30,109,5
81,21,15,29,44,114,5
81,18,10,19,95,126,5
75,12,10,18,67,117,5
75,18,11,12,96,123,5
68,12,11,19,50,117,5
81,12,14,28,30,113,5
75,12,13,16,64,113,5
62,18,12,14,97,125,5
62,18,10,9,100,118,5
81,21,19,23,24,113,5
81,21,23,45,18,104,5
87,18,18,25,19,106,5
75,15,11,9,28,114,5
62,15,9,18,73,121,5
68,15,12,19,111,127,5
62,15,10,12,20,117,5
56,18,11,5,122,136,5
62,15,10,22,29,118,5
50,18,6,15,78,124,5
75,15,13,42,20,117,5
62,18,10,26,39,122,5
62,18,9,33,20,119,5
68,21,12,27,48,123,5
75,21,9,18,55,118,5
50,18,6,16,24,123,5
50,9,6,5,104,132,5
68,15,10,31,57,123,5
81,12,10,28,107,128,5
62,12,5,18,95,136,5
81,12,10,30,94,128,5
87,3,8,25,46,129,5
81,15,13,56,78,128,5
81,12,12,38,58,124,5
75,15,12,35,28,123,5
81,21,15,33,43,112,5
75,12,12,39,59,126,5
68,18,11,39,30,119,5
68,12,13,34,17,126,5
68,15,15,19,55,130,5
68,18,17,30,22,117,5
75,12,12,26,64,128,5
68,9,9,29,41,128,5
75,18,13,42,49,126,5
68,18,16,52,53,126,5
62,6,17,45,17,124,5
75,15,13,58,13,125,5
75,18,10,45,30,118,5
81,18,17,78,20,121,5
81,12,9,41,22,121,5
68,15,10,52,22,118,5
75,24,17,43,17,127,5
81,15,12,21,95,133,5
62,21,13,53,20,123,5
75,21,15,28,95,130,5
,,,,-96,-8,7
,,,,-106,-8,7
,,,,-96,-7,7
,,,,-102,2,7
,,,,-100,19,7
,,,,-111,134,7
,,,,-101,-3,7
,,,,-109,15,7
,,,,-94,-11,7
,,,,-95,4,7
,,,,-87,3,7
,,,,-92,-12,7
,,,,-104,-2,7
,,,,-103,10,7
,,,,-97,4,7
,,,,-104,9,7
,,,,-93,-5,7
,,,,-72,-18,7
,,,,-84,-12,7
,,,,-89,-4,7
,,,,-90,-20,7
,,,,-90,-18,7
,,,,-88,-16,7
,,,,-98,-17,7
,,,,-86,-2,7
,,,,-113,3,7
,,,,-85,-14,7
,,,,-93,-24,7
,,,,-82,-13,7
,,,,-109,0,7
,,,,-93,-11,7
,,,,-94,-16,7
,,,,-85,-19,7
,,,,-108,5,7
,,,,-94,-6,7
,,,,-88,-6,7
,,,,-94,-3,7
,,,,-92,3,7
,,,,-79,-8,7
,,,,-88,-12,7
,,,,-94,5,7
,,,,-94,-17,7
,,,,-94,-7,7
,,,,-92,1,7
,,,,-97,-14,7
,,,,-96,-8,7
,,,,-93,0,7
,,,,-106,-3,7
,,,,-70,-14,7
,,,,-71,-17,7
,,,,-92,-4,7
,,,,-95,-17,7
,,,,-90,12,7
,,,,-86,17,7
,,,,-94,3,7
,,,,-91,11,7
,,,,-96,4,7
,,,,-89,8,7
,,,,-90,9,7
,,,,-93,6,7
,,,,-89,0,7
,,,,-91,4,7
,,,,-83,-2,7
,,,,-83,17,7
,,,,-91,4,7
,,,,-92,3,7
,,,,-92,0,7
,,,,-94,4,7
,,,,-88,8,7
,,,,-82,16,7
,,,,-87,6,7
,,,,-96,0,7
,,,,-97,5,7
,,,,-100,4,7
,,,,-90,4,7
,,,,-93,5,7
,,,,-99,0,7
,,,,-91,23,7
,,,,-92,22,7
,,,,-93,23,7
,,,,-90,26,7
,,,,-90,26,7
,,,,-96,21,7
,,,,-90,15,7
,,,,-90,25,7
,,,,-101,8,7
,,,,-107,0,7
,,,,-107,4,7
,,,,-103,15,7
,,,,-97,18,7
,,,,-100,6,7
,,,,-98,5,7
,,,,-96,3,7
,,,,-96,11,7
,,,,-91,17,7
,,,,-91,14,7
,,,,-91,15,7
,,,,-89,14,7
,,,,-88,15,7
,,,,-92,11,7
,,,,-87,19,7
,,,,-88,20,7
,,,,-90,19,7
,,,,-85,25,7
,,,,-84,25,7
,,,,-77,32,7
,,,,-93,32,7
,,,,-93,25,7
,,,,-97,22,7
,,,,-85,-3,7
,,,,-93,12,7
,,,,-91,21,7
,,,,-92,16,7
,,,,-88,22,7
,,,,-91,16,7
,,,,-89,20,7
,,,,-91,20,7
,,,,-92,15,7
,,,,-91,24,7
,,,,-85,12,7
,,,,-90,9,7
